iter	Logloss
0	0.6326535034
1	0.5792944156
2	0.5382290051
3	0.507436679
4	0.4784021954
5	0.4537236173
6	0.4312077242
7	0.4131021657
8	0.3970849131
9	0.3836279506
10	0.3710921733
11	0.3589088111
12	0.3497095624
13	0.3403229897
14	0.3324878019
15	0.3253327344
16	0.3191828649
17	0.3098572495
18	0.3045212151
19	0.2955018705
20	0.2907807264
21	0.2868409041
22	0.2831806647
23	0.2800579475
24	0.2771062544
25	0.2746736295
26	0.2720143875
27	0.2696141441
28	0.2672660379
29	0.2645121795
30	0.2622921753
31	0.2605374026
32	0.2556674464
33	0.2538747212
34	0.2523968117
35	0.2481859604
36	0.2463298244
37	0.2450404567
38	0.2438333938
39	0.2425474129
40	0.2408865925
41	0.2399088631
42	0.2385251124
43	0.2375665044
44	0.2366370317
45	0.2353175384
46	0.2313287234
47	0.2287674279
48	0.2277689496
49	0.2259169694
50	0.2244725994
51	0.2233360111
52	0.2222487236
53	0.220448773
54	0.2197362922
55	0.2175205485
56	0.2165724122
57	0.2157539667
58	0.215135142
59	0.2145214844
60	0.2134979368
61	0.212756946
62	0.211583605
63	0.2110162533
64	0.2098202993
65	0.2091328071
66	0.2085202954
67	0.2078003468
68	0.2071253339
69	0.2064627703
70	0.2060623678
71	0.2057021496
72	0.2052779104
73	0.2047969085
74	0.2036207999
75	0.2032299057
76	0.2029134638
77	0.2020776472
78	0.2000760067
79	0.1997692542
80	0.1989499694
81	0.1980228319
82	0.1972315799
83	0.1966818551
84	0.1963910346
85	0.1957977071
86	0.1951343222
87	0.1946304127
88	0.1944231669
89	0.1936515524
90	0.1932645162
91	0.192860447
92	0.1916449887
93	0.1911312806
94	0.1908493251
95	0.190473193
96	0.1901285373
97	0.1897968008
98	0.1894792415
99	0.1891564552
100	0.1887663329
101	0.1885439794
102	0.1878753198
103	0.1877032157
104	0.187200823
105	0.1870145865
106	0.1868647542
107	0.1866901233
108	0.1859763561
109	0.1858488494
110	0.1856800977
111	0.1851801764
112	0.1849768665
113	0.1846925788
114	0.1844012586
115	0.1842134618
116	0.1838954133
117	0.182684205
118	0.1825187803
119	0.1823251403
120	0.1818652434
121	0.1816891764
122	0.1814975903
123	0.1813795456
124	0.1811006808
125	0.1808769406
126	0.1807502657
127	0.1804044432
128	0.1802716319
129	0.1801062161
130	0.1797736448
131	0.1796292384
132	0.1792907236
133	0.1790110046
134	0.1788836475
135	0.1785185975
136	0.1783606391
137	0.1778688812
138	0.1776572328
