iter	Passed	Remaining
0	243	121666
1	279	69540
2	316	52380
3	351	43609
4	389	38596
5	432	35627
6	486	34284
7	535	32923
8	715	39051
9	776	38055
10	812	36127
11	849	34545
12	886	33223
13	922	32018
14	961	31092
15	998	30192
16	1037	29474
17	1074	28780
18	1112	28155
19	1150	27613
20	1189	27138
21	1227	26661
22	1262	26180
23	1300	25785
24	1339	25454
25	1381	25187
26	1419	24865
27	1455	24538
28	1500	24375
29	1552	24315
30	1594	24116
31	1632	23880
32	1672	23666
33	1712	23473
34	1753	23302
35	1790	23081
36	1827	22870
37	1868	22716
38	1908	22557
39	1946	22382
40	2117	23703
41	2163	23594
42	2205	23442
43	2244	23256
44	2277	23029
45	2315	22852
46	2358	22727
47	2401	22611
48	2452	22576
49	2492	22432
50	2535	22325
51	2577	22210
52	2626	22153
53	2673	22082
54	2711	21942
55	2767	21939
56	2817	21899
57	2869	21868
58	2918	21813
59	2957	21689
60	3000	21595
61	3040	21480
62	3079	21362
63	3121	21267
64	3159	21144
65	3207	21092
66	3253	21027
67	3295	20938
68	3340	20864
69	3381	20772
70	3428	20716
71	3470	20631
72	3509	20527
73	3548	20429
74	3592	20356
75	3642	20318
76	3684	20243
77	3732	20194
78	3776	20123
79	3813	20021
80	3853	19933
81	3902	19890
82	3942	19807
83	3979	19707
84	4023	19644
85	4068	19585
86	4107	19497
87	4148	19422
88	4188	19340
89	4223	19238
90	4262	19159
91	4298	19061
92	4332	18961
93	4369	18873
94	4408	18792
95	4448	18719
96	4487	18645
97	4526	18568
98	4566	18494
99	4606	18427
100	4655	18390
101	4710	18379
102	4753	18320
103	4795	18259
104	4837	18197
105	4882	18147
106	4922	18079
107	4961	18008
108	5002	17943
109	5041	17875
110	5079	17802
111	5117	17729
112	5150	17637
113	5200	17610
114	5248	17570
115	5295	17528
116	5342	17488
117	5381	17422
118	5420	17354
119	5457	17281
120	5507	17252
121	5547	17187
122	5585	17121
123	5627	17063
124	5665	16995
125	5707	16941
126	5747	16879
127	5793	16836
128	5835	16782
129	5877	16727
130	5926	16693
131	5965	16630
132	6003	16565
133	6040	16497
134	6076	16430
135	6115	16367
136	6156	16313
137	6207	16282
138	6265	16273
139	6310	16225
140	6349	16165
141	6388	16105
142	6427	16046
143	6463	15980
144	6506	15930
145	6552	15886
146	6592	15831
147	6630	15770
148	6670	15714
149	6714	15666
150	6755	15614
151	6796	15561
152	6835	15503
153	6878	15454
154	6915	15393
155	6954	15336
156	6990	15271
157	7025	15206
158	7061	15144
159	7097	15082
160	7138	15030
161	7177	14975
162	7212	14911
163	7251	14856
164	7294	14809
165	7329	14748
166	7368	14692
167	7405	14634
168	7444	14581
169	7482	14525
170	7521	14470
171	7560	14418
172	7599	14363
173	7633	14301
174	7671	14247
175	7707	14189
176	7744	14132
177	7786	14085
178	7827	14037
179	7863	13978
180	7899	13922
181	7948	13888
182	7992	13844
183	8031	13793
184	8092	13778
185	8141	13744
186	8208	13738
187	8259	13706
188	8305	13666
189	8358	13637
190	8427	13633
191	8471	13589
192	8535	13577
193	8576	13527
194	8619	13482
195	8656	13426
196	8693	13370
197	8733	13321
198	8774	13272
199	8887	13331
200	8961	13331
201	9018	13305
202	9058	13253
203	9105	13211
204	9143	13158
205	9184	13108
206	9226	13059
207	9266	13008
208	9311	12964
209	9352	12915
210	9396	12870
211	9435	12818
212	9480	12774
213	9521	12725
214	9561	12674
215	9605	12629
216	9642	12575
217	9682	12525
218	9724	12477
219	9760	12422
220	9803	12376
221	9842	12325
222	9880	12273
223	9918	12221
224	9958	12170
225	10002	12126
226	10038	12073
227	10076	12021
228	10127	11984
229	10174	11944
230	10222	11904
231	10270	11864
232	10313	11818
233	10355	11771
234	10398	11725
235	10443	11682
236	10488	11639
237	10531	11593
238	10571	11544
239	10611	11496
240	10653	11448
241	10691	11398
242	10731	11350
243	10770	11299
244	10818	11259
245	10858	11211
246	10897	11162
247	10936	11112
248	10978	11067
249	11018	11018
250	11057	10968
251	11095	10918
252	11134	10870
253	11171	10819
254	11217	10777
255	11252	10725
256	11290	10675
257	11324	10622
258	11361	10572
259	11400	10523
260	11437	10473
261	11484	10432
262	11526	10387
263	11567	10341
264	11609	10295
265	11647	10246
266	11685	10197
267	11720	10146
268	11755	10095
269	11792	10045
270	11830	9996
271	11869	9949
272	11905	9899
273	11945	9852
274	12000	9818
275	12048	9778
276	12085	9729
277	12122	9680
278	12158	9630
279	12201	9587
280	12242	9541
281	12291	9502
282	12337	9460
283	12378	9414
284	12437	9382
285	12478	9336
286	12516	9289
287	12559	9245
288	12595	9196
289	12638	9152
290	12674	9103
291	12709	9053
292	12750	9008
293	12788	8960
294	12826	8913
295	12864	8866
296	12899	8816
297	12936	8768
298	12972	8720
299	13008	8672
300	13041	8621
301	13089	8581
302	13124	8533
303	13163	8487
304	13210	8446
305	13247	8398
306	13284	8351
307	13319	8303
308	13357	8256
309	13397	8211
310	13435	8164
311	13477	8120
312	13515	8074
313	13558	8031
314	13603	7989
315	13643	7944
316	13679	7897
317	13714	7849
318	13748	7800
319	13779	7750
320	13812	7702
321	13845	7653
322	13881	7606
323	13915	7558
324	13949	7511
325	13983	7463
326	14015	7414
327	14050	7368
328	14083	7320
329	14119	7273
330	14153	7226
331	14189	7179
332	14224	7133
333	14256	7085
334	14288	7037
335	14330	6994
336	14376	6953
337	14416	6909
338	14461	6868
339	14506	6826
340	14544	6781
341	14583	6737
342	14618	6691
343	14652	6644
344	14687	6598
345	14725	6554
346	14760	6508
347	14795	6462
348	14827	6415
349	14867	6371
350	14900	6325
