amount,txn_hour,payment_mode,receiver_type,is_new_receiver,avg_amount_7d,avg_amount_30d,max_amount_7d,txn_count_1h,txn_count_24h,days_since_last_txn,night_txn_ratio,location_mismatch,is_night,is_round_amount,velocity_check,deviation_from_sender_avg,exceeds_recent_max,is_fraud
325.66,10,2,0,0,392.21,414.62,991.7,0,4,18,0.28,0,0,0,1,0.79,0,0.0
475.5,10,2,1,0,300.28,289.2,369.75,0,4,3,0.32,0,0,0,0,1.64,1,0.0
152.68,17,1,2,0,293.43,280.84,431.62,2,5,2,0.11,0,0,0,0,0.54,0,0.0
8721.59,23,0,1,1,9917.44,9187.62,20409.85,0,5,4,0.65,0,1,0,0,0.95,0,0.0
111.76,8,1,0,0,275.92,284.17,680.71,0,2,5,0.42,0,0,0,0,0.39,0,0.0
1315.03,22,0,1,0,2661.28,2597.41,6305.67,2,2,4,0.32,0,0,0,0,0.51,0,0.0
890.97,4,2,2,0,943.02,996.26,1552.92,0,4,4,0.47,0,1,0,0,0.89,0,0.0
38.65,16,2,0,1,93.94,86.72,147.19,0,5,1,0.11,1,0,0,0,0.45,0,0.0
288.0,4,0,1,0,578.33,527.37,1255.79,0,1,1,0.26,0,1,0,0,0.55,0,0.0
246.62,1,1,2,0,221.73,214.24,544.89,0,2,0,0.55,0,1,0,0,1.15,0,0.0
458.21,9,1,0,0,381.92,377.39,1110.21,0,4,0,0.54,0,0,0,0,1.21,0,0.0
1361.06,0,1,0,0,596.28,556.37,1614.75,1,2,1,0.43,0,1,0,0,2.45,0,0.0
139.82,22,2,2,0,128.37,134.83,348.93,1,6,10,0.37,0,0,0,0,1.04,0,0.0
631.44,15,0,0,0,1129.18,1048.75,1433.48,2,2,1,0.17,0,0,0,0,0.6,0,0.0
291.47,17,0,2,0,121.48,115.27,305.37,3,2,2,0.6,0,0,0,0,2.53,0,0.0
132.73,22,2,2,0,225.21,226.72,520.21,0,5,0,0.1,0,0,0,0,0.59,0,0.0
222.45,20,0,0,0,409.35,428.14,723.96,0,3,9,0.29,0,0,0,0,0.52,0,0.0
337.14,15,1,1,0,318.76,335.31,887.15,1,5,10,0.22,0,0,0,0,1.01,0,0.0
1965.44,0,2,1,0,1661.5,1622.3,3567.6,0,4,5,0.5,0,1,0,0,1.21,0,0.0
1195.25,6,1,1,0,1088.3,1163.69,2327.1,1,2,2,0.5,0,0,0,0,1.03,0,0.0
213.71,20,1,0,1,98.5,94.97,241.13,1,3,7,0.09,0,0,0,0,2.25,0,0.0
170.7,11,2,1,0,317.03,310.03,690.14,0,2,0,0.12,0,0,0,0,0.55,0,1.0
230.18,18,1,1,0,1016.35,1078.1,1980.09,0,2,0,0.4,0,0,0,0,0.21,0,0.0
327.03,5,1,0,0,247.71,229.54,562.54,0,3,9,0.26,0,1,0,0,1.42,0,0.0
136.22,19,2,0,1,238.65,222.51,579.75,0,3,8,0.05,0,0,0,0,0.61,0,0.0
669.15,4,0,1,0,1293.4,1231.72,2567.9,0,4,6,0.28,0,1,0,0,0.54,0,0.0
736.93,14,0,2,0,1265.29,1320.51,2312.22,1,3,3,0.1,0,0,0,0,0.56,0,0.0
628.96,13,2,2,1,657.62,704.43,882.04,1,11,24,0.5,0,0,0,0,0.89,0,0.0
2005.78,18,2,0,0,1833.69,1761.16,5300.84,0,2,4,0.71,0,0,0,0,1.14,0,0.0
163.35,5,0,1,0,329.7,337.18,853.05,1,2,7,0.26,0,1,0,0,0.48,0,0.0
137.82,8,0,0,0,110.07,107.48,229.91,1,2,5,0.27,0,0,0,0,1.28,0,0.0
302.78,23,1,2,0,292.0,280.01,606.31,0,3,1,0.14,0,1,0,0,1.08,0,0.0
415.15,21,1,0,0,308.91,292.68,513.59,0,5,8,0.27,0,0,0,0,1.42,0,0.0
287.95,10,0,1,0,340.54,355.32,990.97,1,3,6,0.57,0,0,0,0,0.81,0,0.0
718.45,0,1,1,0,1615.55,1658.13,3582.75,0,1,0,0.27,0,1,0,0,0.43,0,0.0
260.51,8,0,0,0,148.24,141.12,407.12,1,3,0,0.39,0,0,0,0,1.85,0,1.0
522.04,10,2,1,0,408.61,451.53,502.79,0,5,4,0.4,0,0,0,0,1.16,1,0.0
224.58,12,0,1,0,657.23,654.99,1797.79,0,2,6,0.21,0,0,0,0,0.34,0,0.0
4044.47,1,1,0,0,3439.77,3145.18,6085.35,0,2,1,0.18,0,1,0,0,1.29,0,0.0
235.71,18,0,0,0,160.11,163.08,394.83,0,2,3,0.63,0,0,0,0,1.45,0,0.0
145.63,23,0,1,0,79.4,78.61,168.92,1,3,7,0.37,0,1,0,0,1.85,0,0.0
1742.76,7,1,0,1,2394.38,2603.05,3591.93,3,4,2,0.66,0,0,0,0,0.67,0,1.0
429.35,16,2,2,1,157.69,153.28,411.37,2,4,13,0.07,0,0,0,0,2.8,1,0.0
4932.08,20,0,1,0,6589.85,5999.58,18419.68,0,1,2,0.53,0,0,0,0,0.82,0,0.0
1952.91,11,2,1,0,2359.54,2281.12,4392.12,0,1,5,0.23,0,0,0,0,0.86,0,0.0
252.72,0,1,1,0,336.04,312.84,509.33,1,3,1,0.21,0,1,0,0,0.81,0,0.0
3391.65,4,1,1,1,3531.1,3603.78,6169.54,0,4,17,0.24,0,1,0,0,0.94,0,0.0
346.76,3,0,2,0,645.83,713.51,1245.24,0,3,1,0.26,0,1,0,0,0.49,0,0.0
105.48,14,1,1,0,171.08,157.8,278.68,0,2,5,0.19,0,0,0,0,0.67,0,0.0
1038.59,16,0,2,0,143.87,155.14,302.91,1,4,2,0.47,0,0,0,0,6.69,1,0.0
598.56,20,0,2,0,494.14,531.93,927.08,0,2,9,0.46,0,0,0,0,1.13,0,0.0
2747.31,10,1,2,0,1141.07,1244.54,2931.39,2,4,4,0.21,0,0,0,0,2.21,0,0.0
87.22,7,1,2,0,55.9,58.68,102.84,0,2,1,0.38,0,0,0,0,1.49,0,0.0
1203.32,22,1,2,1,819.69,747.91,1105.74,1,4,0,0.43,0,0,0,0,1.61,1,0.0
282.93,17,1,0,0,458.66,436.24,823.87,0,3,1,0.34,0,0,0,0,0.65,0,0.0
15.25,16,2,2,0,26.33,27.93,70.36,1,0,2,0.04,0,0,0,0,0.55,0,0.0
679.18,0,0,2,0,321.62,309.71,913.29,0,3,10,0.21,0,1,0,0,2.19,0,0.0
253.1,7,2,0,0,521.21,523.98,1016.97,0,3,1,0.14,0,0,0,0,0.48,0,0.0
448.56,7,1,0,0,387.13,400.44,1032.3,0,2,1,0.16,0,0,0,0,1.12,0,0.0
471.74,9,0,0,1,685.75,633.33,1565.16,1,1,5,0.33,0,0,0,0,0.74,0,0.0
521.78,3,2,0,1,490.95,530.52,1043.77,0,1,2,0.5,0,1,0,0,0.98,0,0.0
1018.23,0,1,2,0,1463.14,1503.6,1830.4,0,1,0,0.4,0,1,0,0,0.68,0,0.0
6631.72,14,2,0,0,3602.72,3648.73,7495.1,0,4,3,0.31,0,0,0,0,1.82,0,0.0
1009.26,11,0,2,0,1365.69,1454.09,3148.27,1,0,0,0.21,0,0,0,0,0.69,0,0.0
841.62,8,2,0,0,1063.59,1140.78,1659.56,0,1,0,0.09,0,0,0,0,0.74,0,0.0
820.0,13,0,2,0,884.63,887.98,1475.87,0,1,0,0.3,0,0,0,0,0.92,0,0.0
84.97,15,1,0,0,132.83,143.53,219.76,1,2,0,0.17,0,0,0,1,0.59,0,0.0
2717.91,0,1,1,0,1293.58,1315.86,1804.01,0,4,2,0.09,0,1,0,0,2.07,1,1.0
297.28,10,1,2,1,405.8,426.32,546.12,1,4,7,0.44,0,0,0,0,0.7,0,0.0
107.17,14,2,0,0,282.41,304.94,357.22,0,5,4,0.26,0,0,0,0,0.35,0,0.0
222.04,15,0,2,0,209.1,215.3,443.87,0,5,1,0.08,0,0,0,1,1.03,0,0.0
929.04,19,2,2,0,987.19,922.27,2345.36,1,0,1,0.41,0,0,0,0,1.01,0,0.0
2296.57,5,2,2,0,10581.19,9912.66,23638.3,1,2,4,0.29,0,1,0,0,0.23,0,0.0
1845.59,12,2,2,0,2508.93,2651.26,5385.59,2,4,9,0.57,0,0,0,0,0.7,0,0.0
259.68,21,0,1,0,183.91,184.39,254.31,0,1,3,0.16,0,0,0,0,1.41,1,0.0
1316.52,9,1,0,0,1787.74,1844.63,5156.79,0,3,0,0.36,0,0,0,0,0.71,0,0.0
2236.78,13,2,2,0,2293.2,2298.03,6491.09,2,2,10,0.27,0,0,0,0,0.97,0,0.0
155.68,2,0,1,0,225.56,207.72,668.93,0,4,13,0.08,0,1,0,0,0.75,0,0.0
488.24,1,0,0,0,823.55,769.89,1816.87,1,3,5,0.05,0,1,0,0,0.63,0,0.0
1289.94,19,0,2,0,3512.57,3389.25,4958.78,2,3,0,0.3,0,0,0,0,0.38,0,0.0
240.15,11,2,1,0,503.85,476.7,1471.22,2,1,3,0.26,0,0,0,0,0.5,0,0.0
151.84,3,0,1,0,180.32,173.22,395.49,0,1,7,0.27,0,1,0,0,0.88,0,0.0
23.06,9,1,2,0,27.05,29.06,45.5,0,5,7,0.25,0,0,0,0,0.79,0,0.0
275.81,4,0,0,0,498.23,502.96,1453.71,0,2,9,0.49,0,1,0,0,0.55,0,0.0
149.85,14,2,0,0,159.34,169.46,242.59,2,2,2,0.07,0,0,0,0,0.88,0,0.0
68.26,0,0,2,0,9.65,10.0,14.24,2,0,0,0.13,0,1,0,0,6.83,1,1.0
1372.02,0,1,1,0,702.88,728.06,1537.11,0,4,5,0.01,0,1,0,0,1.88,0,0.0
296.39,19,0,1,0,247.78,268.24,386.5,0,6,3,0.17,0,0,0,0,1.1,0,0.0
148.15,1,0,1,0,164.01,155.18,477.97,0,6,0,0.16,0,1,0,0,0.95,0,0.0
204.66,20,1,2,0,137.42,152.31,277.75,1,3,15,0.14,0,0,0,0,1.34,0,0.0
390.91,8,1,0,0,318.6,343.08,749.67,0,1,7,0.54,0,0,0,0,1.14,0,0.0
322.03,1,2,1,1,235.55,230.77,329.52,0,4,5,0.12,0,1,0,0,1.4,0,0.0
1415.69,16,0,2,1,1119.46,1100.03,2422.96,3,3,0,0.16,0,0,0,0,1.29,0,1.0
535.15,9,1,1,0,680.34,717.35,1835.23,1,1,0,0.14,0,0,0,0,0.75,0,0.0
154.17,5,2,1,0,476.31,439.78,581.0,0,4,0,0.45,0,1,0,0,0.35,0,0.0
335.56,0,2,2,0,215.36,196.18,518.63,3,4,4,0.14,0,1,0,0,1.71,0,0.0
7899.98,17,1,0,0,4184.04,4513.77,10145.27,1,6,4,0.42,0,0,0,0,1.75,0,0.0
832.32,6,2,0,0,538.97,590.45,1331.63,0,2,2,0.1,0,0,0,0,1.41,0,0.0
456.62,1,2,1,1,448.23,459.01,855.01,0,1,2,0.33,0,1,0,0,0.99,0,0.0
628.18,7,2,2,0,757.76,698.58,1619.33,2,1,3,0.31,0,0,0,0,0.9,0,0.0
277.22,22,0,1,0,427.04,451.17,775.51,0,2,2,0.34,0,0,0,0,0.61,0,0.0
467.24,22,2,2,0,695.0,712.98,991.22,0,4,6,0.09,1,0,0,0,0.66,0,0.0
535.06,17,1,2,0,594.52,553.09,1657.07,1,2,3,0.29,0,0,0,0,0.97,0,0.0
491.74,7,2,2,1,440.03,442.19,757.52,0,5,1,0.37,0,0,0,0,1.11,0,0.0
195.17,16,2,2,0,257.05,251.13,718.51,1,3,3,0.45,0,0,0,0,0.78,0,0.0
116.2,14,0,0,0,161.35,160.66,453.09,0,3,0,0.38,0,0,0,0,0.72,0,0.0
380.72,19,0,2,1,531.84,571.33,1271.49,1,2,3,0.19,0,0,0,0,0.67,0,0.0
2550.69,22,2,2,1,2286.07,2119.38,5241.21,0,1,2,0.24,0,0,0,0,1.2,0,0.0
167.68,22,1,1,1,67.75,64.5,200.44,0,7,0,0.21,0,0,0,0,2.6,0,0.0
1071.68,21,2,1,0,2197.08,2001.75,3137.37,0,7,28,0.3,0,0,0,0,0.54,0,0.0
4085.6,13,0,0,0,3367.28,3065.47,8276.91,0,1,0,0.34,0,0,0,0,1.33,0,0.0
116.96,16,0,1,1,61.62,66.56,174.47,1,3,0,0.14,0,0,0,0,1.76,0,0.0
260.99,22,1,0,0,219.58,207.18,526.13,0,4,2,0.09,0,0,0,0,1.26,0,0.0
91.15,10,2,0,1,88.73,94.15,182.77,2,3,0,0.13,0,0,0,0,0.97,0,0.0
315.34,13,0,1,1,957.15,955.49,2663.04,1,3,1,0.22,0,0,0,0,0.33,0,0.0
1734.95,13,2,1,1,1250.66,1175.7,3529.71,2,2,4,0.41,0,0,0,0,1.48,0,1.0
281.27,20,2,2,1,483.09,535.26,1406.02,0,3,1,0.57,0,0,0,0,0.53,0,0.0
272.57,1,2,1,1,220.79,201.6,390.74,0,4,2,0.3,0,1,0,1,1.35,0,1.0
247.73,21,0,0,0,326.77,315.54,527.39,0,1,5,0.52,0,0,0,0,0.79,0,0.0
938.11,7,1,0,0,3394.88,3217.74,8372.77,2,3,6,0.24,0,0,0,0,0.29,0,0.0
56.34,4,1,1,0,111.77,111.57,241.8,0,0,1,0.23,0,1,0,0,0.5,0,0.0
82.44,18,2,0,1,85.25,84.6,153.36,0,2,1,0.39,0,0,0,0,0.97,0,0.0
711.95,8,1,0,0,2150.56,2003.36,6058.31,1,4,1,0.31,0,0,0,0,0.36,0,0.0
32.86,11,1,1,1,36.03,37.83,84.8,1,3,0,0.4,0,0,0,0,0.87,0,0.0
55.97,16,2,0,0,133.56,127.08,326.88,1,7,7,0.09,0,0,0,0,0.44,0,0.0
308.1,18,1,1,0,492.59,513.34,687.68,0,2,4,0.17,0,0,0,0,0.6,0,0.0
968.93,3,1,2,0,1498.94,1553.5,2921.6,1,4,2,0.35,0,1,0,0,0.62,0,0.0
322.07,22,1,0,0,690.77,700.05,1521.94,0,4,1,0.22,0,0,0,0,0.46,0,0.0
